Tweets
#Animal - An Alpha Blockbuster!!  #RanbirKapoor #SandeepReddyVanga #RashmikaMandanna #AnimalMovie #AnimalTheMovie #AnilKapoor #BobbyDeol #Cinee_Worldd
Best review of #AnimalMovie 😂
40 minutes done of #animal 💥 Ranbir Kapoor fire hai broo in real   Baki ki movie kl dekhte hainn
"People who watched Animal aren't becoming criminals, and who watched Sam Bahadur aren't becoming soldiers. watch the movie like a movie but not an agenda, taklu"
"Sandeep, I believed you are a very talented director... but never knew you are one of the best porn movie director like  Animal movie...."
#TriptiDimri Will Be Roped In #Spirit ?  #Prabhas #Animal #AnimalMovie #Salaar #SandeepReddyVanga #Cinee_Worldd
A historic Monday at the box office! 📊💥 #Animal sets a new record with a phenomenal 40.06 CR. The roar of success reverberates across cinema history!
"Yes, there were movies like RDX, Animal, Jawan, Jigarthanda DoubleX which are specially made for immense theatrical experiences in 2023..  But this one scene was above them all for me..and the adrenaline rush this scene gave for me was damn 😭🔥🔥"
#Animal Crossed 50cr Gross in Telugu States 💥  Already earned 13cr+ Profit with today's collections 🔥  One of the most profitable dubbed movie 🔥  We can expect 70cr+ gross in Longrun 🤞  #AnimalTheMovie #RanbirKapoor
"#SunnyDeol seen dancing drunk on the road at night, Unbelievabl 😲  Don't Shocked , it's a movie shoot 😂  #AnimalMovie #AnimalBoxOffice #AnimalReview #AnimalPark #Animal #RanbirKapoor𓃵 #BobbyDeol𓃵"
"You are triggering the wounds of millions of people , even more than Ranbir-Anil Kapoor did in the Animal movie :)"
😂😂😂  #Animal #AnimalMovie
Aakhir peer pressure me aake Mne bhi animal movie dekh hi li😶🎥
"Oh god, you are obsessed with the movie man.  Bhai saab aap ke dilo dimaag pe Friday se Animal hi hai. Movie ye definitely apna kaam kar diya hai 😅😅"
"‘ANIMAL’ IS UNSTOPPABLE… #Animal is 250 NOT OUT… Racing towards ₹ 300 cr…Refuses to slow down on weekdays… Fri 54.75 cr, Sat 58.37 cr, Sun 63.46 cr, Mon 40.06 cr, Tue 34.02 cr. Total: ₹ 250.66 cr. #Hindi version. Nett BOC. #Boxoffice  FASTEST TO HIT ₹ 250 CR… ⭐️ #Jawan: Day 4 ⭐️ #Animal: Day 5 ⭐️ #Pathaan: Day 5 ⭐️ #Gadar2: Day 6 ⭐️ #KGF2 #Hindi: Day 7 ⭐️ #Baahubali2 #Hindi: Day 8 ⭐️ #Dangal: Day 10 ⭐️ #Sanju: Day 10 ⭐️ #TigerZindaHai: Day 10 #India biz. Nett BOC. #Hindi version only.  #Animal [South Indian languages] Fri 9.05 cr, Sat 8.90 cr, Sun 7.23 cr, Mon 4.41 cr, Tue 3.80 cr. Total: ₹ 33.39 cr. Nett BOC. #Boxoffice  ALL LANGUAGES TOTAL: ₹ 284.05 cr Nett BOC. #AnimalTheFilm"
"Unable to control the crowds , who want to watch ANIMAL now this 👇"
Hydrabadi-style Animal movie review.😂
Movies I watched in theater this yr  Pathan  3x  Tjmm  Bhola.  2x  MI 7.  oppenheimer IMAX rocky aur rani.  3x  Jawan.   6x Animal  2x Sam bahadur   Will end this yr  with watching  Dunki  🥱
"Bhai yah animal movie ka director is from South India, so that's why everyone is just hyping it up..."
"hi nanna movie repe anta release ah musaldhi,musalodi athi thatukoleka poya inni days."
"#animal was PHENOMENAL! not a fan of any(infact ig i dislike some) just the movie from cinematic perspective for me it was so good! ranbir was in his extraordinary form, @rashmika killed with her emotional acting which was really unexpected!"
Which is the best movie of Mahesh and Trivikram @urstrulyMahesh #Trivikram #GunturKaaram #MaheshBabu𓃵 #Thaman
From the director of #Animal Movie  #AnimalBoxOffice
"First time in Indian cinema humans are defending Animal for doing violent Animal things, and buying a ticket at higher rates to watch such Animal acts. Very recently public was up in arms searching a tiny reason to boycott movies.  #AnimalTheMovie #AnimalPark #AnimalBoxOffice"
Satire post but In Animal Movie   • They have showed Ranveer Smoking inside Church  • They have showed Burqa woman taking cigarettes  • They have showed Ranveer doing Pooja Path  • They have showed Ranveer telling Difference between Naazi Symbol and Swastic
oh i like ANIMAL MOVIE  BUT
BGM's for animal movie #RanbirKaapor #RashmikaMandanna #SandeepReddyVanga #arrahman #AnimalMovie #AnimalTheMovie #AnimalBoxOffice #AnilKapoor #RanbirKapoor𓃵
